SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
206.60   	215.45   	 61.40   	 498.47		 46.00   	  71.21		
198.36   	191.65   	 63.40   	 462.87		 46.29   	  71.21		
175.78   	147.71   	 65.25   	 406.92		 46.57   	  76.30		
140.69   	 85.75   	 66.88   	 366.22		 46.88   	  76.30		
 97.96   	 12.21   	 68.34   	 310.27		 47.18   	  76.30		
 54.32   	-62.87   	 69.58   	 264.50		 47.49   	  61.04		
 15.56   	-130.92   	 70.64   	 188.20		 47.73   	  45.78		
-37.84   	-227.05   	 71.39   	 147.51		 47.91   	  35.61		
-53.41   	-254.82   	 71.98   	  96.64		 48.06   	  10.17		
-63.17   	-272.22   	 72.37   	  55.95		 48.10(S)	 -10.17		
-68.36   	-281.07   	 72.59   	  15.26		 48.06   	 -30.52		
-69.58   	-282.90   	 72.65(S)	 -25.43		 47.93   	 -45.78		
-67.14   	-277.10   	 72.55   	 -50.86		 47.75   	 -61.04		
-61.34   	-263.06   	 72.35   	 -81.38		 47.51   	 -81.38		
-52.19   	-240.78   	 72.02   	-101.73		 47.18   	 -91.56		
-40.89   	-212.71   	 71.62   	-116.99		 46.82   	-111.90		
-27.47   	-184.94   	 71.15   	-132.25		 46.37   	-137.33		
-14.04   	-162.35   	 70.62   	-142.42		 45.82   	-178.03		
 -3.66   	-147.09   	 70.05   	-152.59		 45.11   	-223.80		
  0.31   	-137.63   	 69.44   	-157.68		 44.21   	-279.75		
 -2.14   	-129.39   	 68.81   	-167.85		 43.09   	-356.05		
 -6.10   	-119.63   	 68.14   	-178.03		 41.67   	-447.61		
 -5.49   	-113.22   	 67.43   	-183.11		 39.88   	-549.34		
  2.75   	-117.19   	 66.69   	-193.29		 37.68   	-645.98		
