SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
113.22   	106.51   	 60.67   	 -50.86		 75.60   	-106.82		
122.99   	137.33   	 60.47   	 -81.38		 75.18   	 -40.69		
132.14   	171.20   	 60.14   	-101.73		 75.01(D)	  66.12		
142.52   	209.05   	 59.74   	-116.99		 75.28   	 188.20		
155.03   	249.02   	 59.27   	-127.16		 76.03   	 330.62		
169.68   	289.00   	 58.76   	-147.51		 77.35   	 513.73		
184.63   	327.45   	 58.17   	-162.77		 79.41   	 747.71		
196.84   	361.94   	 57.52   	-162.77		 82.40   	 976.60		
203.86   	392.15   	 56.87   	-152.59		 86.31   	1124.11		
206.60   	417.48   	 56.26   	-137.33		 90.80   	1139.36		
205.69   	438.23   	 55.71   	-137.33		 95.36   	1037.64		
203.25   	455.93   	 55.16   	-127.16		 99.51   	 915.56		
200.81   	470.58   	 54.65   	-122.07		103.17   	 813.83		
198.06   	481.87   	 54.16   	-111.90		106.43   	 722.28		
194.09   	487.06   	 53.71   	 -91.56		109.32   	 625.63		
187.99   	483.09   	 53.35   	 -71.21		111.82   	 462.87		
179.44   	466.92   	 53.06   	 -61.04		113.67   	 284.84		
167.24   	437.62   	 52.82   	 -61.04		114.81   	 188.20		
