SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
 49.13   	 41.50   	 57.23   	 -76.30		 22.48   	 386.57		
 53.41   	 51.88   	 56.93   	 -66.12		 24.03   	 335.71		
 57.37   	 61.95   	 56.66   	 -55.95		 25.37   	 320.45		
 61.34   	 72.63   	 56.44   	 -40.69		 26.65   	 315.36		
 64.70   	 83.01   	 56.28   	 -10.17		 27.91   	 259.41		
 67.14   	 91.86   	 56.24(D)	  35.61		 28.95   	 188.20		
 68.36   	 98.88   	 56.38   	 111.90		 29.70   	 167.85		
 68.97   	104.68   	 56.83   	 188.20		 30.38   	 142.42		
 69.58   	111.69   	 57.58   	 284.84		 30.95   	  86.47		
 71.41   	120.54   	 58.72   	 371.31		 31.29   	  40.69		
 73.85   	131.84   	 60.20   	 452.69		 31.45   	  15.26		
 75.99   	143.43   	 62.01   	 523.90		 31.52(S)	 -15.26		
 77.21   	153.81   	 64.11   	 569.68		 31.45   	 -40.69		
 77.51   	163.27   	 66.39   	 605.29		 31.29   	 -71.21		
 78.43   	173.34   	 68.81   	 625.63		 31.01   	 -86.47		
 80.57   	185.85   	 71.31   	 630.72		 30.66   	 -96.64		
 84.23   	200.50   	 73.83   	 610.37		 30.27   	 -96.64		
 87.89   	216.06   	 76.28   	 590.03		 29.89   	 -86.47		
 91.55   	231.32   	 78.64   	 534.08		 29.54   	 -86.47		
 95.21   	246.28   	 80.77   	 452.69		 29.20   	 -91.56		
100.10   	262.15   	 82.58   	 361.14		 28.83   	 -96.64		
106.20   	280.15   	 84.03   	   0.00		 28.44   	   0.00		
106.20   	280.15   	 84.03   	 462.87		 28.44   	-198.37		
119.63   	322.27   	 85.88   	   0.00		 27.65   	   0.00		
119.63   	322.27   	 85.88   	 111.90		 27.65   	-203.46		
131.23   	364.38   	 86.33   	   0.00		 26.84   	   0.00		
131.23   	364.38   	 86.33   	-172.94		 26.84   	-198.37		
141.91   	400.70   	 85.64   	   0.00		 26.04   	   0.00		
141.91   	400.70   	 85.64   	-269.58		 26.04   	-147.51		
149.23   	429.08   	 84.56   	   0.00		 25.45   	   0.00		
149.23   	429.08   	 84.56   	-350.97		 25.45   	-127.16		
152.89   	454.71   	 83.15   	   0.00		 24.94   	   0.00		
152.89   	454.71   	 83.15   	-305.19		 24.94   	 -81.38		
153.20   	475.77   	 81.93   	-111.90		 24.62   	 -25.43		
151.37   	480.04   	 81.48   	 -91.56		 24.52   	 -25.43		
147.71   	478.21   	 81.12   	 -50.86		 24.41   	 -20.35		
141.91   	468.44   	 80.92   	   0.00		 24.33   	 -20.35		
133.97   	449.52   	 80.92   	  55.95		 24.25   	 -10.17		
124.51   	420.53   	 81.14   	  96.64		 24.21   	 -15.26		
113.53   	381.47   	 81.53   	 116.99		 24.15   	  -5.09		
101.01   	333.25   	 81.99   	 137.33		 24.13   	   5.09		
 86.36   	279.54   	 82.54   	 157.68		 24.15   	   0.00		
 69.89   	223.69   	 83.17   	 183.11		 24.15   	  10.17		
 52.19   	168.46   	 83.91   	 188.20		 24.19   	  10.17		
 35.10   	115.97   	 84.66   	 167.85		 24.23   	  15.26		
 20.14   	 67.75   	 85.33   	 147.51		 24.29   	  15.26		
  8.54   	 25.02   	 85.92   	 122.07		 24.35   	  10.17		
  0.31   	-10.38   	 86.41   	 106.82		 24.39   	  10.17		
 -5.80   	-39.06   	 86.84   	  76.30		 24.44   	  10.17		
-10.68   	-61.65   	 87.14   	  45.78		 24.48   	  10.17		
-14.95   	-79.96   	 87.32   	   5.09		 24.52   	   0.00		
-18.92   	-95.52   	 87.34(S)	 -35.61		 24.52   	 -15.26		
-21.67   	-108.64   	 87.20   	 -76.30		 24.46   	 -40.69		
-23.50   	-118.71   	 86.90   	-101.73		 24.29   	 -81.38		
-23.80   	-125.43   	 86.49   	-122.07		 23.97   	-116.99		
-22.58   	-129.09   	 86.00   	-152.59		 23.50   	-147.51		
-20.45   	-129.70   	 85.39   	-183.11		 22.91   	-172.94		
-17.40   	-128.48   	 84.66   	-183.11		 22.22   	-208.54		
-14.65   	-126.34   	 83.93   	-167.85		 21.38   	-239.06		
-12.51   	-124.21   	 83.26   	-188.20		 20.43   	-259.41		
-11.60   	-122.99   	 82.50   	-208.54		 19.39   	-284.84		
-12.21   	-122.38   	 81.67   	-208.54		 18.25   	-300.10		
-13.73   	-121.46   	 80.83   	-183.11		 17.05   	-300.10		
-15.56   	-119.93   	 80.10   	-162.77		 15.85   	-340.79		
-17.09   	-118.10   	 79.45   	-167.85		 14.49   	-371.31		
