SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 42.69   	 -45.78		  5.86   	 -25.43		
 42.50   	 -40.69		  5.76(D)	   5.09		
 42.34   	 -30.52		  5.78(E)	  35.61		
 42.22   	 -30.52		  5.92   	  61.04		
 42.10   	 -35.61		  6.16   	  81.38		
 41.95   	 -25.43		  6.49   	  91.56		
 41.85   	 -15.26		  6.86   	 106.82		
 41.79   	 -20.35		  7.28   	 111.90		
 41.71   	 -20.35		  7.73   	 106.82		
 41.63   	 -25.43		  8.16   	  91.56		
 41.53   	 -30.52		  8.52   	  76.30		
 41.40   	 -30.52		  8.83   	  50.86		
 41.28   	 -40.69		  9.03   	  30.52		
 41.12   	 -35.61		  9.16   	  15.26		
 40.98   	 -30.52		  9.22   	   0.00		
 40.85   	 -35.61		  9.22   	 -10.17		
 40.71   	 -30.52		  9.18   	 -15.26		
 40.59   	 -30.52		  9.11   	  -5.09		
 40.47   	 -20.35		  9.09   	   0.00		
 40.39   	 -35.61		  9.09   	  15.26		
 40.24   	 -35.61		  9.16   	  45.78		
 40.10   	 -30.52		  9.34   	  71.21		
 39.98   	 -30.52		  9.62   	 101.73		
 39.86   	 -30.52		 10.03   	 137.33		
 39.74   	 -20.35		 10.58   	 172.94		
 39.65   	 -10.17		 11.27   	 244.15		
 39.61   	 -15.26		 12.25   	 305.19		
 39.55   	 -25.43		 13.47   	 340.79		
 39.45   	 -25.43		 14.83   	 376.40		
 39.35   	 -15.26		 16.34   	 442.52		
 39.29   	 -20.35		 18.11   	 488.30		
 39.21   	 -15.26		 20.06   	 523.90		
 39.15   	 -20.35		 22.16   	 559.51		
 39.06   	 -15.26		 24.39   	 584.94		
 39.00(D)	   5.09		 26.73   	 615.46		
 39.02   	  25.43		 29.20   	 630.72		
 39.12   	  55.95		 31.72   	 640.89		
 39.35   	 116.99		 34.28   	 661.24		
 39.82   	 183.11		 36.93   	 661.24		
 40.55   	 254.32		 39.57   	 651.07		
 41.57   	 310.27		 42.18   	 610.37		
 42.81   	 366.22		 44.62   	 590.03		
 44.27   	 406.92		 46.98   	 569.68		
 45.90   	 422.18		 49.26   	 539.16		
 47.59   	 412.00		 51.41   	 508.65		
 49.24   	 386.57		 53.45   	 473.04		
 50.78   	 366.22		 55.34   	 442.52		
 52.25   	 325.53		 57.11   	 417.09		
 53.55   	 279.75		 58.78   	 391.66		
 54.67   	 233.98		 60.35   	 371.31		
 55.61   	 198.37		 61.83   	 345.88		
 56.40   	 157.68		 63.21   	 325.53		
 57.03   	 122.07		 64.52   	 315.36		
 57.52   	  91.56		 65.78   	 300.10		
 57.88   	  66.12		 66.98   	 284.84		
 58.15   	  45.78		 68.12   	 274.67		
 58.33   	  30.52		 69.22   	 264.50		
 58.45   	  15.26		 70.27   	 264.50		
 58.51   	   5.09		 71.33   	 264.50		
 58.53   	   0.00		 72.39   	 254.32		
 58.53   	  -5.09		 73.41   	 249.24		
 58.51   	   0.00		 74.40   	 244.15		
 58.51   	   5.09		 75.38   	 254.32		
 58.53   	  10.17		 76.40   	 249.24		
 58.58   	  10.17		 77.40   	 249.24		
 58.62   	  25.43		 78.39   	 254.32		
 58.72   	  35.61		 79.41   	 264.50		
 58.86   	  40.69		 80.47   	 264.50		
 59.02   	  50.86		 81.53   	 264.50		
 59.23   	  61.04		 82.58   	 274.67		
 59.47   	  45.78		 83.68   	 269.58		
 59.65   	  40.69		 84.76   	 264.50		
 59.82   	  50.86		 85.82   	 264.50		
 60.02   	  50.86		 86.88   	 254.32		
 60.22   	  40.69		 87.89   	 244.15		
 60.39   	  25.43		 88.87   	 228.89		
 60.49   	  15.26		 89.79   	 213.63		
 60.55   	   5.09		 90.64   	 198.37		
 60.57(S)	 -10.17		 91.43   	 188.20		
 60.53   	 -20.35		 92.19   	 167.85		
 60.45   	 -25.43		 92.86   	 147.51		
 60.35   	 -25.43		 93.45   	 142.42		
 60.24   	 -25.43		 94.02   	 122.07		
 60.14   	 -20.35		 94.51   	 101.73		
 60.06   	 -30.52		 94.91   	  86.47		
 59.94   	 -30.52		 95.26   	  71.21		
 59.82   	 -45.78		 95.54   	  50.86		
 59.63   	 -50.86		 95.75   	  30.52		
 59.43   	 -50.86		 95.87   	  10.17		
 59.23   	 -71.21		 95.91(S)	 -20.35		
 58.94   	 -86.47		 95.83   	 -40.69		
 58.60   	 -96.64		 95.67   	 -76.30		
 58.21   	-101.73		 95.36   	-111.90		
 57.80   	-116.99		 94.91   	-152.59		
 57.33   	-147.51		 94.30   	-193.29		
 56.74   	-162.77		 93.53   	-254.32		
 56.09   	-193.29		 92.51   	-310.27		
 55.32   	-213.63		 91.27   	-381.48		
 54.47   	-244.15		 89.75   	-467.95		
 53.49   	-249.24		 87.87   	-544.25		
 52.49   	-239.06		 85.70   	-595.11		
 51.54   	-198.37		 83.32   	-651.07		
 50.74   	-137.33		 80.71   	-701.93		
 50.19   	 -61.04		 77.90   	-732.45		
 49.95   	   0.00		 74.97   	-747.71		
 49.95   	  35.61		 71.98   	-752.79		
 50.09   	  50.86		 68.97   	-752.79		
 50.29   	  55.95		 65.96   	-737.54		
 50.52   	  40.69		 63.01   	-717.19		
 50.68   	  15.26		 60.14   	-691.76		
 50.74   	 -15.26		 57.38   	-671.41		
 50.68   	 -35.61		 54.69   	-651.07		
 50.54   	 -50.86		 52.09   	-630.72		
 50.34   	 -71.21		 49.56   	-610.37		
 50.05   	 -71.21		 47.12   	-584.94		
