SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 49.66   	-417.09		107.53   	-178.03		
 48.00   	-483.21		106.82   	-193.29		
 46.06   	-478.13		106.04   	-198.37		
 44.15   	-493.39		105.25   	-203.46		
 42.18   	-528.99		104.43   	-198.37		
 40.06   	-559.51		103.64   	-193.29		
 37.82   	-569.68		102.87   	-183.11		
 35.54   	-595.11		102.14   	-188.20		
 33.16   	-600.20		101.38   	-188.20		
 30.76   	-584.94		100.63   	-193.29		
 28.42   	-569.68		 99.86   	-188.20		
 26.14   	-544.25		 99.10   	-193.29		
 23.97   	-528.99		 98.33   	-203.46		
 21.85   	-503.56		 97.52   	-203.46		
 19.84   	-478.13		 96.70   	-198.37		
 17.92   	-447.61		 95.91   	-203.46		
 16.13   	-417.09		 95.10   	-213.63		
 14.47   	-386.57		 94.24   	-223.80		
 12.92   	-356.05		 93.35   	-223.80		
 11.50   	-340.79		 92.45   	-244.15		
 10.13   	-310.27		 91.47   	-249.24		
  8.89   	-289.93		 90.48   	-233.98		
  7.73   	-264.50		 89.54   	-223.80		
  6.67   	-244.15		 88.65   	-233.98		
  5.70   	-218.72		 87.71   	-218.72		
  4.82   	-188.20		 86.84   	-208.54		
  4.07   	-167.85		 86.00   	-203.46		
  3.40   	-137.33		 85.19   	-183.11		
  2.85   	-106.82		 84.46   	-142.42		
  2.42   	 -91.56		 83.89   	-122.07		
  2.05   	 -81.38		 83.40   	-147.51		
  1.73   	 -71.21		 82.81   	-157.68		
  1.44   	 -61.04		 82.18   	-152.59		
  1.20   	 -45.78		 81.57   	-132.25		
  1.02   	 -30.52		 81.04   	-106.82		
  0.90   	 -15.26		 80.61   	 -81.38		
  0.83   	  -5.09		 80.28   	 -86.47		
  0.81   	  -5.09		 79.94   	 -96.64		
  0.79   	  -5.09		 79.55   	-101.73		
  0.77   	 -25.43		 79.15   	 -91.56		
  0.67   	 -40.69		 78.78   	 -76.30		
  0.51   	 -61.04		 78.47   	 -66.12		
  0.26   	 -71.21		 78.21   	 -45.78		
 -0.02   	 -66.12		 78.03   	 -35.61		
 -0.28   	 -45.78		 77.88   	 -40.69		
 -0.47   	 -30.52		 77.72   	 -55.95		
 -0.59   	 -15.26		 77.50   	 -45.78		
 -0.65   	 -10.17		 77.31   	 -25.43		
 -0.69   	  -5.09		 77.21   	 -35.61		
 -0.71(D)	   0.00		 77.07   	 -40.69		
 -0.71   	  10.17		 76.91   	 -20.35		
 -0.67   	  15.26		 76.83   	 -20.35		
 -0.61   	  15.26		 76.74   	 -30.52		
 -0.55   	  15.26		 76.62   	 -30.52		
