SAMPLE NUMBER:   30
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-790.71   	139.16   	 10.64   	-259.41		 80.94   	-228.89		
-788.27   	133.67   	  9.60   	-259.41		 80.02   	-233.98		
-786.44   	128.48   	  8.57   	-254.32		 79.08   	-239.06		
-788.88   	135.19   	  7.55   	-249.24		 78.13   	-223.80		
-789.49   	131.53   	  6.55   	-223.80		 77.23   	-203.46		
-790.10   	132.14   	  5.66   	-193.29		 76.42   	-188.20		
-794.07   	128.78   	  4.88   	-167.85		 75.67   	-167.85		
-796.81   	128.78   	  4.21   	-142.42		 74.99   	-157.68		
-796.51   	123.90   	  3.64   	-116.99		 74.36   	-147.51		
-797.73   	123.29   	  3.17   	 -91.56		 73.77   	-142.42		
-800.78   	124.82   	  2.81   	 -76.30		 73.20   	-137.33		
-801.09   	124.82   	  2.50   	 -55.95		 72.65   	-137.33		
-801.39   	120.24   	  2.28   	 -45.78		 72.11   	-137.33		
-806.27   	121.46   	  2.10   	 -50.86		 71.56   	-142.42		
-806.88   	126.34   	  1.89   	 -45.78		 70.99   	-147.51		
-806.58   	124.51   	  1.71   	 -45.78		 70.40   	-142.42		
-813.29   	126.65   	  1.53   	 -45.78		 69.83   	-142.42		
-815.43   	131.23   	  1.34   	 -40.69		 69.26   	-142.42		
-817.87   	128.78   	  1.18   	 -35.61		 68.69   	-132.25		
