SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
228.58   	353.09   	 80.08   	 406.92		 54.79   	 137.33		
246.89   	390.01   	 81.71   	 427.26		 55.34   	 147.51		
266.11   	425.72   	 83.42   	 427.26		 55.93   	 142.42		
280.46   	453.49   	 85.13   	 412.00		 56.50   	 142.42		
283.20   	469.06   	 86.77   	 391.66		 57.07   	 137.33		
269.47   	471.19   	 88.34   	 371.31		 57.62   	 137.33		
240.78   	461.12   	 89.83   	 356.05		 58.17   	 137.33		
205.99   	445.56   	 91.25   	 340.79		 58.72   	 122.07		
177.61   	432.74   	 92.61   	 345.88		 59.21   	 116.99		
163.27   	428.77   	 94.00   	 335.71		 59.67   	 116.99		
163.27   	434.27   	 95.34   	 320.45		 60.14   	 111.90		
172.73   	446.47   	 96.62   	 305.19		 60.59   	 106.82		
187.38   	459.59   	 97.84   	 274.67		 61.02   	  96.64		
205.08   	467.83   	 98.94   	 244.15		 61.40   	  91.56		
224.61   	468.14   	 99.92   	 213.63		 61.77   	  86.47		
240.78   	458.07   	100.77   	 188.20		 62.12   	  76.30		
245.97   	435.18   	101.53   	 172.94		 62.42   	  61.04		
234.38   	396.42   	102.22   	 157.68		 62.67   	  61.04		
206.60   	340.88   	102.85   	 147.51		 62.91   	  61.04		
139.77   	206.91   	103.44   	 127.16		 63.15   	  45.78		
115.97   	148.93   	103.95   	 101.73		 63.34   	  35.61		
 98.57   	106.51   	104.35   	  86.47		 63.48   	  35.61		
 82.09   	 77.51   	104.70   	  76.30		 63.62   	  25.43		
 65.31   	 56.76   	105.00   	  66.12		 63.72   	  15.26		
 50.05   	 40.28   	105.27   	  55.95		 63.78   	  10.17		
 39.67   	 25.94   	105.49   	  35.61		 63.82   	  10.17		
 33.87   	 13.73   	105.64   	  10.17		 63.87   	  10.17		
 29.60   	  4.58   	105.68(S)	  -5.09		 63.91(S)	  -5.09		
 24.72   	 -1.53   	105.66   	 -15.26		 63.89   	   0.00		
 21.06   	 -4.58   	105.59   	 -20.35		 63.89   	   0.00		
 21.67   	 -4.58   	105.51   	 -30.52		 63.89   	 -10.17		
 25.33   	 -3.97   	105.39   	 -35.61		 63.85   	 -15.26		
 25.63   	 -6.71   	105.25   	 -50.86		 63.78   	 -15.26		
 17.40   	-16.78   	105.05   	 -55.95		 63.72   	 -30.52		
  1.53   	-33.26   	104.82   	 -76.30		 63.60   	 -45.78		
-15.26   	-52.19   	104.52   	 -81.38		 63.42   	 -61.04		
-25.63   	-67.14   	104.19   	 -91.56		 63.17   	 -76.30		
-26.86   	-74.16   	103.82   	 -86.47		 62.87   	-101.73		
-23.19   	-75.99   	103.48   	 -86.47		 62.46   	-137.33		
-21.36   	-79.04   	103.13   	 -86.47		 61.91   	-178.03		
-25.63   	-88.50   	102.79   	 -91.56		 61.20   	-218.72		
-34.48   	-103.15   	102.42   	-106.82		 60.33   	-269.58		
-41.81   	-117.19   	101.99   	-111.90		 59.25   	-315.36		
-42.72   	-122.99   	101.55   	-116.99		 57.99   	-381.48		
-36.32   	-118.71   	101.08   	-122.07		 56.46   	-437.43		
-28.08   	-108.03   	100.59   	-122.07		 54.71   	-518.82		
-25.94   	-98.27   	100.10   	-116.99		 52.63   	-615.46		
-35.40   	-97.96   	 99.63   	-122.07		 50.17   	-661.24		
-54.63   	-109.56   	 99.15   	-122.07		 47.53   	-681.58		
-75.68   	-128.78   	 98.66   	-137.33		 44.80   	-691.76		
-88.50   	-146.18   	 98.11   	-137.33		 42.03   	-681.58		
-86.98   	-149.84   	 97.56   	-152.59		 39.31   	-661.24		
-72.63   	-134.28   	 96.95   	-157.68		 36.66   	-615.46		
-53.41   	-104.98   	 96.32   	-162.77		 34.20   	-564.60		
-38.45   	-73.85   	 95.67   	-172.94		 31.94   	-523.90		
-31.74   	-54.02   	 94.97   	-178.03		 29.85   	-478.13		
-28.69   	-47.91   	 94.26   	-188.20		 27.93   	-432.35		
-23.19   	-50.35   	 93.51   	-193.29		 26.21   	-401.83		
-14.04   	-53.71   	 92.74   	-203.46		 24.60   	-371.31		
 -5.80   	-53.71   	 91.92   	-208.54		 23.11   	-350.97		
 -5.80   	-52.80   	 91.09   	-213.63		 21.71   	-335.71		
-18.92   	-57.98   	 90.23   	-208.54		 20.37   	-315.36		
-40.89   	-72.63   	 89.40   	-198.37		 19.10   	-315.36		
-64.09   	-94.60   	 88.61   	-193.29		 17.84   	-305.19		
-80.87   	-116.27   	 87.83   	-167.85		 16.62   	-289.93		
-89.42   	-130.00   	 87.16   	-152.59		 15.46   	-264.50		
-90.94   	-131.84   	 86.55   	-137.33		 14.40   	-254.32		
-87.89   	-123.60   	 86.00   	-122.07		 13.39   	-244.15		
-81.79   	-111.69   	 85.51   	-116.99		 12.41   	-213.63		
-75.07   	-101.93   	 85.05   	-111.90		 11.56   	-203.46		
-70.19   	-97.05   	 84.60   	-116.99		 10.74   	-193.29		
-68.66   	-96.13   	 84.13   	-116.99		  9.97   	-188.20		
-70.50   	-95.83   	 83.66   	-116.99		  9.22   	-218.72		
-73.24   	-93.38   	 83.19   	-127.16		  8.34   	-254.32		
-74.16   	-88.50   	 82.69   	-132.25		  7.32   	-269.58		
-70.80   	-82.09   	 82.16   	-116.99		  6.25   	-233.98		
-63.17   	-76.29   	 81.69   	-106.82		  5.31   	-188.20		
-52.49   	-72.02   	 81.26   	 -86.47		  4.56   	-132.25		
-41.20   	-70.50   	 80.92   	 -81.38		  4.03   	 -71.21		
-31.74   	-72.02   	 80.59   	 -76.30		  3.74   	  -5.09		
-25.02   	-75.38   	 80.28   	 -71.21		  3.72(D)	  35.61		
-22.28   	-79.96   	 80.00   	 -76.30		  3.87   	  66.12		
-23.50   	-85.75   	 79.69   	 -76.30		  4.13   	  86.47		
-26.86   	-91.55   	 79.39   	 -71.21		  4.48   	  86.47		
