SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 31.43   	 31.13   	 47.71   	  86.47		 35.61   	 340.79		
 30.82   	 31.74   	 48.06   	  86.47		 36.97   	 356.05		
 29.91   	 33.26   	 48.40   	  66.12		 38.39   	 361.14		
 28.38   	 35.10   	 48.67   	  50.86		 39.84   	 376.40		
 25.02   	 37.23   	 48.87   	  30.52		 41.34   	 386.57		
 20.75   	 39.37   	 48.99   	  10.17		 42.89   	 396.74		
 16.48   	 41.20   	 49.03(S)	 -15.26		 44.48   	 386.57		
 13.12   	 43.33   	 48.97   	 -35.61		 46.02   	 371.31		
 10.07   	 45.47   	 48.83   	 -55.95		 47.51   	 340.79		
  7.02   	 48.52   	 48.61   	 -71.21		 48.87   	 300.10		
  3.05   	 51.57   	 48.32   	 -86.47		 50.07   	 254.32		
 -0.92   	 55.24   	 47.98   	 -96.64		 51.09   	 213.63		
 -4.27   	 58.90   	 47.59   	-106.82		 51.94   	 167.85		
 -6.10   	 61.95   	 47.16   	-137.33		 52.61   	 137.33		
 -6.10   	 68.97   	 46.61   	-142.42		 53.16   	 142.42		
 -4.58   	 75.38   	 46.04   	-147.51		 53.73   	 152.59		
 -2.75   	 84.84   	 45.45   	-157.68		 54.34   	 167.85		
  0.31   	 96.13   	 44.82   	-162.77		 55.02   	 183.11		
  4.58   	108.95   	 44.17   	-167.85		 55.75   	 178.03		
 10.68   	121.46   	 43.50   	-178.03		 56.46   	 172.94		
 18.31   	133.67   	 42.79   	-178.03		 57.15   	 152.59		
 26.86   	144.65   	 42.08   	-183.11		 57.76   	 127.16		
 34.79   	152.89   	 41.34   	-193.29		 58.27   	 111.90		
 40.59   	156.56   	 40.57   	-193.29		 58.72   	  91.56		
 43.64   	154.72   	 39.80   	-198.37		 59.08   	  55.95		
 43.64   	147.40   	 39.00   	-208.54		 59.31   	  40.69		
 42.11   	135.80   	 38.17   	-228.89		 59.47   	  10.17		
 39.98   	121.77   	 37.25   	-244.15		 59.51(S)	 -15.26		
 37.54   	107.12   	 36.28   	-279.75		 59.45   	 -35.61		
 35.40   	 93.99   	 35.16   	-310.27		 59.31   	 -55.95		
 32.35   	 82.09   	 33.92   	-350.97		 59.08   	 -66.12		
 28.69   	 71.41   	 32.51   	-386.57		 58.82   	 -61.04		
 24.41   	 61.04   	 30.97   	-422.18		 58.58   	 -55.95		
 20.14   	 51.27   	 29.28   	-467.95		 58.35   	 -61.04		
 16.78   	 44.86   	 27.41   	-488.30		 58.11   	 -55.95		
 15.56   	 47.00   	 25.45   	-503.56		 57.88   	 -55.95		
 17.40   	 62.26   	 23.44   	-498.47		 57.66   	 -61.04		
 22.58   	 92.47   	 21.44   	-478.13		 57.42   	 -76.30		
 30.82   	132.14   	 19.53   	-452.69		 57.11   	-101.73		
 39.67   	171.51   	 17.72   	-417.09		 56.70   	-116.99		
 47.91   	203.55   	 16.05   	-386.57		 56.24   	-142.42		
 54.32   	225.83   	 14.51   	-356.05		 55.67   	-152.59		
 59.20   	242.00   	 13.08   	-335.71		 55.06   	-172.94		
 62.56   	255.74   	 11.74   	-330.62		 54.36   	-178.03		
 63.78   	267.03   	 10.42   	-325.53		 53.65   	-188.20		
 62.56   	274.05   	  9.11   	-315.36		 52.90   	-193.29		
 58.90   	271.61   	  7.85   	-300.10		 52.13   	-188.20		
 52.80   	256.04   	  6.65   	-279.75		 51.37   	-188.20		
 44.56   	223.69   	  5.53   	-254.32		 50.62   	-178.03		
