SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  LRA     	  LRA'		
-437.93   	-444.64   	 14.06   	  30.52		103.19   	   0.00		
-498.35   	-495.61   	 14.18   	  40.69		103.19   	   5.09		
-545.65   	-527.65   	 14.34   	  45.78		103.21   	   0.00		
-580.75   	-545.35   	 14.53   	  40.69		103.21   	  -5.09		
-605.47   	-555.11   	 14.69   	  35.61		103.19   	  15.26		
-614.32   	-555.73   	 14.83   	  25.43		103.25   	  35.61		
-605.16   	-543.21   	 14.93   	  50.86		103.40   	  10.17		
-584.72   	-520.02   	 15.14   	  61.04		103.44   	 -25.43		
-564.27   	-494.38   	 15.38   	  50.86		103.34   	 -20.35		
-553.59   	-478.82   	 15.58   	  66.12		103.25   	 -15.26		
-553.89   	-479.74   	 15.85   	  86.47		103.19   	  -5.09		
-557.56   	-493.77   	 16.20   	  66.12		103.17   	  10.17		
-556.03   	-511.47   	 16.46   	  61.04		103.21   	  20.35		
-548.71   	-527.04   	 16.70   	  61.04		103.30   	  10.17		
-541.99   	-540.77   	 16.95   	  35.61		103.34   	 -10.17		
-539.25   	-554.20   	 17.09   	  -5.09		103.30   	   0.00		
-537.41   	-565.49   	 17.07   	 -30.52		103.30   	  30.52		
-531.31   	-569.76   	 16.95   	 -25.43		103.42   	  25.43		
-518.49   	-563.35   	 16.85   	 -15.26		103.52   	  15.26		
-501.71   	-548.71   	 16.79   	 -15.26		103.58   	  20.35		
-486.15   	-530.70   	 16.72   	 -20.35		103.66   	  -5.09		
-473.94   	-514.83   	 16.64   	 -10.17		103.64   	 -15.26		
-465.70   	-503.54   	 16.60   	 -15.26		103.58   	   5.09		
-460.51   	-498.05   	 16.54   	 -10.17		103.60   	  40.69		
-458.37   	-498.66   	 16.50   	  -5.09		103.76   	  30.52		
-457.46   	-503.54   	 16.48   	   5.09		103.89   	  -5.09		
-448.61   	-507.51(R)	 16.50(E)	   5.09		103.87   	  -5.09		
-421.45   	-505.68   	 16.52   	  10.17		103.84   	  10.17		
-368.04   	-496.22   	 16.56   	   5.09		103.89   	  10.17		
-288.09   	-471.80   	 16.58   	  30.52		103.93   	  -5.09		
-192.57   	-414.12   	 16.70   	  71.21		103.91   	   5.09		
