SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
 87.28   	 97.35   	 52.29   	-162.77		 33.20   	 -61.04		 38.92   	-183.11		
 75.68   	 77.21   	 51.64   	-157.68		 32.96   	 -71.21		 38.19   	-188.20		
 66.53   	 59.20   	 51.01   	-162.77		 32.68   	 -91.56		 37.44   	-188.20		
 58.59   	 41.81   	 50.36   	-162.77		 32.31   	-111.90		 36.68   	-193.29		
 51.57   	 26.55   	 49.70   	-162.77		 31.86   	-132.25		 35.91   	-203.46		
 45.78   	 14.65   	 49.05   	-167.85		 31.33   	-152.59		 35.10   	-208.54		
 41.20   	  6.10   	 48.38   	-167.85		 30.72   	-167.85		 34.26   	-228.89		
 38.45   	  0.00   	 47.71   	-178.03		 30.05   	-178.03		 33.35   	-233.98		
 37.23   	 -5.49   	 47.00   	-183.11		 29.34   	-183.11		 32.41   	-254.32		
 37.23   	 -8.54   	 46.27   	-198.37		 28.61   	-188.20		 31.39   	-269.58		
 39.06   	 -5.80   	 45.47   	-198.37		 27.85   	-198.37		 30.32   	-284.84		
 42.42   	  6.71   	 44.68   	-213.63		 27.06   	-208.54		 29.18   	-305.19		
 45.47   	 28.38   	 43.82   	-208.54		 26.23   	-193.29		 27.96   	-330.62		
 47.61   	 56.46   	 42.99   	-213.63		 25.45   	-167.85		 26.63   	-345.88		
 48.22   	 86.98   	 42.14   	-203.46		 24.78   	-152.59		 25.25   	-366.22		
 50.66   	118.41   	 41.32   	-203.46		 24.17   	-142.42		 23.78   	-376.40		
 58.59   	151.98   	 40.51   	-193.29		 23.60   	-122.07		 22.28   	-376.40		
 72.94   	188.29   	 39.74   	-188.20		 23.11   	 -76.30		 20.77   	-381.48		
 89.72   	224.30   	 38.98   	-172.94		 22.81   	 -50.86		 19.25   	-381.48		
103.45   	252.99   	 38.29   	-172.94		 22.60   	 -30.52		 17.72   	-417.09		
102.23   	247.19   	 37.60   	-152.59		 22.48   	 -30.52		 16.05   	-396.74		
 85.14   	196.53   	 36.99   	-142.42		 22.36   	 -35.61		 14.47   	-381.48		
 60.12   	117.49   	 36.42   	-122.07		 22.22   	 -55.95		 12.94   	-350.97		
 32.96   	 26.55   	 35.93   	-111.90		 21.99   	 -76.30		 11.54   	-330.62		
 10.99   	-51.27   	 35.48   	 -96.64		 21.69   	 -91.56		 10.21   	-300.10		
 -0.61   	-97.05   	 35.10   	 -86.47		 21.32   	-116.99		  9.01   	-264.50		
 -1.83   	-108.03   	 34.75   	 -71.21		 20.85   	-142.42		  7.96   	-239.06		
