SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 12.51   	-40.89   	 11.17   	 101.73		 58.49   	 -45.78		
 44.25   	 20.14   	 11.58   	 147.51		 58.31   	 -55.95		
 49.44   	 43.95   	 12.17   	 162.77		 58.09   	 -55.95		
 38.76   	 40.89   	 12.82   	 183.11		 57.86   	 -45.78		
 30.21   	 44.86   	 13.55   	 218.72		 57.68   	 -40.69		
 29.60   	 57.68   	 14.43   	 233.98		 57.52   	 -45.78		
 36.32   	 74.77   	 15.36   	 239.06		 57.33   	 -50.86		
 46.69   	 89.42   	 16.32   	 259.41		 57.13   	 -50.86		
 56.15   	 97.96   	 17.35   	 295.01		 56.93   	 -55.95		
 62.56   	100.71   	 18.54   	 315.36		 56.70   	 -50.86		
 66.22   	100.40   	 19.80   	 330.62		 56.50   	 -50.86		
 68.36   	 97.96   	 21.12   	 340.79		 56.30   	 -50.86		
 69.58   	 94.60   	 22.48   	 335.71		 56.09   	 -50.86		
 70.19   	 90.64   	 23.82   	 325.53		 55.89   	 -40.69		
 69.58   	 88.50   	 25.13   	 320.45		 55.73   	 -35.61		
 67.75   	 90.33   	 26.41   	 295.01		 55.58   	 -25.43		
 64.70   	 95.52   	 27.59   	 284.84		 55.48   	 -25.43		
 60.73   	102.23   	 28.73   	 254.32		 55.38   	 -20.35		
 56.15   	108.34   	 29.75   	 233.98		 55.30   	  -5.09		
 52.49   	115.66   	 30.68   	 203.46		 55.28(D)	  25.43		
 51.57   	126.04   	 31.50   	 198.37		 55.38   	  81.38		
 54.63   	140.99   	 32.29   	 178.03		 55.71   	 162.77		
 60.42   	157.17   	 33.00   	 152.59		 56.36   	 249.24		
 66.83   	170.59   	 33.61   	 132.25		 57.35   	 330.62		
 72.02   	177.92   	 34.14   	 127.16		 58.68   	 376.40		
 75.99   	180.36   	 34.65   	 132.25		 60.18   	 396.74		
 78.74   	181.27   	 35.18   	 116.99		 61.77   	 473.04		
 84.23   	186.77   	 35.65   	 111.90		 63.66   	 528.99		
 86.36   	191.65   	 36.09   	 116.99		 65.78   	 595.11		
 87.28   	197.45   	 36.56   	 111.90		 68.16   	 651.07		
 87.59   	205.08   	 37.01   	 101.73		 70.76   	 681.58		
 87.89   	215.45   	 37.42   	 106.82		 73.49   	 681.58		
 88.50   	228.58   	 37.84   	 116.99		 76.22   	 640.89		
 89.72   	243.23   	 38.31   	 111.90		 78.78   	 584.94		
 90.64   	257.57   	 38.76   	 101.73		 81.12   	 539.16		
 91.86   	269.17   	 39.17   	  81.38		 83.28   	 508.65		
 94.30   	277.40   	 39.49   	  81.38		 85.31   	 493.39		
 98.57   	282.90   	 39.82   	  81.38		 87.28   	 503.56		
103.76   	287.48   	 40.14   	  71.21		 89.30   	 513.73		
108.03   	291.75   	 40.43   	  45.78		 91.35   	 493.39		
109.86   	294.80   	 40.61   	  35.61		 93.33   	 452.69		
109.25   	296.63   	 40.75   	  35.61		 95.14   	 401.83		
107.73   	298.16   	 40.90   	  30.52		 96.74   	 340.79		
105.90   	302.12   	 41.02   	  25.43		 98.11   	 284.84		
104.68   	310.36   	 41.12   	  10.17		 99.25   	 233.98		
103.45   	323.18   	 41.16   	  10.17		100.18   	 208.54		
101.93   	337.52   	 41.20   	  20.35		101.02   	 188.20		
101.32   	351.56   	 41.28   	  20.35		101.77   	 162.77		
102.54   	364.38   	 41.36   	  20.35		102.42   	 122.07		
106.81   	376.28   	 41.44   	  15.26		102.91   	  81.38		
112.30   	386.05   	 41.51   	  20.35		103.23   	  50.86		
117.49   	390.93   	 41.59   	  20.35		103.44   	  20.35		
120.85   	387.88   	 41.67   	  10.17		103.52(S)	   0.00		
122.38   	375.06   	 41.71   	   5.09		103.52   	 -15.26		
122.99   	355.22   	 41.73(S)	   0.00		103.46   	 -15.26		
122.68   	334.17   	 41.73   	  -5.09		103.40   	 -40.69		
119.93   	317.08   	 41.71   	 -10.17		103.23   	 -71.21		
112.61   	305.48   	 41.67   	 -25.43		102.95   	 -96.64		
100.40   	298.16   	 41.57   	 -25.43		102.56   	-116.99		
 84.23   	293.58   	 41.46   	 -30.52		102.10   	-127.16		
 65.61   	289.61   	 41.34   	 -35.61		101.59   	-137.33		
 44.56   	284.42   	 41.20   	 -40.69		101.04   	-137.33		
 21.36   	275.27   	 41.04   	 -45.78		100.49   	-137.33		
 -3.05   	259.70   	 40.85   	 -61.04		 99.94   	-142.42		
-26.55   	237.12   	 40.61   	 -71.21		 99.37   	-142.42		
-46.69   	211.49   	 40.33   	 -81.38		 98.80   	-152.59		
-61.34   	187.68   	 40.00   	 -91.56		 98.19   	-152.59		
-71.41   	168.46   	 39.63   	-122.07		 97.58   	-167.85		
-78.13   	153.20   	 39.15   	-157.68		 96.91   	-172.94		
-82.40   	139.47   	 38.51   	-188.20		 96.22   	-178.03		
-84.53   	128.17   	 37.76   	-208.54		 95.50   	-178.03		
-84.84   	122.07   	 36.93   	-244.15		 94.79   	-172.94		
-83.01   	123.29   	 35.95   	-284.84		 94.10   	-188.20		
-80.57   	130.31   	 34.81   	-300.10		 93.35   	-188.20		
-77.51   	137.94   	 33.61   	-305.19		 92.59   	-188.20		
-74.46   	141.60   	 32.39   	-305.19		 91.84   	-198.37		
-72.33   	139.47   	 31.17   	-325.53		 91.05   	-208.54		
-70.50   	132.75   	 29.87   	-325.53		 90.21   	-223.80		
-69.27   	122.38   	 28.57   	-315.36		 89.32   	-223.80		
-68.66   	108.95   	 27.30   	-305.19		 88.42   	-228.89		
-68.66   	 91.86   	 26.08   	-315.36		 87.51   	-239.06		
-68.66   	 72.33   	 24.82   	-356.05		 86.55   	-254.32		
-68.36   	 54.63   	 23.40   	-396.74		 85.53   	-254.32		
-66.53   	 43.33   	 21.81   	-396.74		 84.52   	-228.89		
-62.56   	 39.67   	 20.22   	-381.48		 83.60   	-198.37		
-56.76   	 40.59   	 18.70   	-366.22		 82.81   	-167.85		
-49.74   	 40.89   	 17.23   	-366.22		 82.14   	-162.77		
-42.11   	 35.71   	 15.77   	-330.62		 81.48   	-157.68		
-34.48   	 23.50   	 14.45   	-274.67		 80.85   	-147.51		
-28.69   	  5.80   	 13.35   	-218.72		 80.26   	-142.42		
-24.72   	-15.56   	 12.47   	-198.37		 79.69   	-152.59		
-21.67   	-40.59   	 11.68   	-172.94		 79.08   	-152.59		
-17.40   	-68.05   	 10.99   	-127.16		 78.47   	-142.42		
-10.38   	-95.52   	 10.48   	 -86.47		 77.90   	-122.07		
  0.31   	-119.32   	 10.13   	 -91.56		 77.42   	-127.16		
 14.34   	-137.63   	  9.77   	-101.73		 76.91   	-127.16		
 29.60   	-150.15   	  9.36   	-101.73		 76.40   	-132.25		
 43.03   	-158.69   	  8.95   	-106.82		 75.87   	-122.07		
 52.19   	-163.88   	  8.52   	-116.99		 75.38   	-111.90		
 56.15   	-166.32   	  8.06   	-106.82		 74.93   	-106.82		
 55.24   	-164.79   	  7.63   	 -76.30		 74.51   	-101.73		
 53.10   	-160.83   	  7.32   	 -10.17		 74.10   	 -81.38		
 53.10   	-156.56   	  7.28   	  30.52		 73.77   	 -71.21		
 56.46   	-154.72   	  7.41   	  50.86		 73.49   	 -71.21		
 62.56   	-156.86   	  7.61   	  66.12		 73.20   	 -66.12		
 69.89   	-162.05   	  7.87   	  81.38		 72.94   	 -55.95		
 76.90   	-168.15   	  8.20   	  61.04		 72.72   	 -61.04		
 83.31   	-170.29   	  8.44   	  45.78		 72.47   	 -66.12		
 88.50   	-164.49   	  8.63   	  25.43		 72.21   	 -61.04		
 91.55   	-149.54   	  8.73   	  10.17		 71.96   	 -55.95		
 90.94   	-126.95   	  8.77   	 -25.43		 71.74   	 -55.95		
 84.84   	-101.93   	  8.67   	 -55.95		 71.52   	 -55.95		
 72.63   	-79.04   	  8.44   	 -71.21		 71.29   	 -61.04		
 55.85   	-60.42   	  8.16   	 -86.47		 71.05   	 -45.78		
 37.84   	-44.86   	  7.81   	 -91.56		 70.86   	 -55.95		
 23.19   	-30.82   	  7.45   	 -81.38		 70.64   	 -61.04		
 16.17   	-18.31   	  7.12   	 -66.12		 70.40   	 -66.12		
 18.92   	 -8.54   	  6.86   	 -35.61		 70.13   	 -61.04		
