SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 65.17   	 -20.35		 42.60   	-122.07		
 65.09   	 -20.35		 42.12   	-116.99		
 65.00   	 -30.52		 41.65   	-122.07		
 64.88   	 -25.43		 41.16   	-122.07		
 64.78   	 -25.43		 40.67   	-137.33		
 64.68   	 -25.43		 40.12   	-142.42		
 64.58   	 -35.61		 39.55   	-157.68		
 64.44   	 -30.52		 38.92   	-157.68		
 64.31   	 -40.69		 38.29   	-152.59		
 64.15   	 -50.86		 37.68   	-147.51		
 63.95   	 -45.78		 37.09   	-147.51		
 63.76   	 -45.78		 36.50   	-147.51		
 63.58   	 -35.61		 35.91   	-147.51		
 63.44   	 -35.61		 35.32   	-147.51		
 63.30   	 -35.61		 34.73   	-147.51		
 63.15   	 -40.69		 34.14   	-152.59		
 62.99   	 -55.95		 33.53   	-157.68		
 62.77   	 -61.04		 32.90   	-162.77		
 62.52   	 -66.12		 32.25   	-167.85		
 62.26   	 -71.21		 31.58   	-178.03		
 61.97   	 -76.30		 30.86   	-188.20		
 61.67   	 -86.47		 30.11   	-188.20		
 61.32   	 -96.64		 29.36   	-198.37		
 60.94   	-116.99		 28.57   	-208.54		
 60.47   	-142.42		 27.73   	-213.63		
 59.90   	-152.59		 26.88   	-218.72		
 59.29   	-162.77		 26.00   	-228.89		
 58.64   	-147.51		 25.09   	-233.98		
 58.05   	-132.25		 24.15   	-244.15		
 57.52   	-127.16		 23.17   	-249.24		
 57.01   	-111.90		 22.18   	-259.41		
 56.56   	-106.82		 21.14   	-264.50		
 56.13   	-101.73		 20.08   	-274.67		
 55.73   	 -91.56		 18.98   	-269.58		
 55.36   	 -81.38		 17.90   	-269.58		
 55.04   	 -76.30		 16.83   	-269.58		
 54.73   	 -71.21		 15.75   	-274.67		
 54.45   	 -66.12		 14.65   	-274.67		
 54.18   	 -66.12		 13.55   	-274.67		
 53.92   	 -55.95		 12.45   	-259.41		
 53.69   	 -50.86		 11.41   	-254.32		
 53.49   	 -55.95		 10.40   	-233.98		
 53.27   	 -61.04		  9.46   	-218.72		
 53.02   	 -66.12		  8.59   	-208.54		
 52.76   	 -61.04		  7.75   	-188.20		
 52.51   	 -66.12		  7.00   	-183.11		
 52.25   	 -55.95		  6.27   	-162.77		
 52.02   	 -45.78		  5.62   	-147.51		
 51.84   	 -35.61		  5.03   	-127.16		
 51.70   	 -40.69		  4.52   	-101.73		
 51.54   	 -50.86		  4.11   	 -81.38		
 51.33   	 -50.86		  3.78   	 -71.21		
 51.13   	 -55.95		  3.50   	 -55.95		
 50.91   	 -55.95		  3.28   	 -55.95		
 50.68   	 -50.86		  3.05   	 -45.78		
 50.48   	 -45.78		  2.87   	 -40.69		
 50.29   	 -50.86		  2.71   	 -40.69		
 50.09   	 -50.86		  2.54   	 -30.52		
 49.89   	 -55.95		  2.42   	 -15.26		
 49.66   	 -55.95		  2.36   	  -5.09		
 49.44   	 -50.86		  2.34(D)	   5.09		
 49.24   	 -55.95		  2.36   	  20.35		
 49.01   	 -50.86		  2.44   	  20.35		
 48.81   	 -50.86		  2.52   	  25.43		
 48.61   	 -45.78		  2.62   	  20.35		
 48.42   	 -45.78		  2.71   	   5.09		
 48.24   	 -45.78		  2.73   	  -5.09		
 48.06   	 -45.78		  2.71   	 -10.17		
 47.87   	 -45.78		  2.67   	 -10.17		
 47.69   	 -40.69		  2.62   	   0.00		
 47.53   	 -40.69		  2.62   	  20.35		
 47.37   	 -35.61		  2.71   	  30.52		
 47.22   	 -40.69		  2.83   	  45.78		
 47.06   	 -40.69		  3.01   	  55.95		
 46.90   	 -40.69		  3.23   	  61.04		
 46.73   	 -35.61		  3.48   	  66.12		
 46.59   	 -40.69		  3.74   	  81.38		
 46.43   	 -40.69		  4.07   	  76.30		
 46.27   	 -45.78		  4.37   	  76.30		
 46.08   	 -45.78		  4.68   	  76.30		
 45.90   	 -40.69		  4.98   	  76.30		
 45.74   	 -40.69		  5.29   	  76.30		
 45.57   	 -35.61		  5.60   	  76.30		
 45.43   	 -40.69		  5.90   	  76.30		
 45.27   	 -45.78		  6.21   	  81.38		
 45.09   	 -45.78		  6.53   	  91.56		
 44.90   	 -55.95		  6.90   	  91.56		
 44.68   	 -50.86		  7.26   	 106.82		
 44.48   	 -50.86		  7.69   	 127.16		
 44.27   	 -45.78		  8.20   	 157.68		
 44.09   	 -35.61		  8.83   	 193.29		
 43.95   	 -35.61		  9.60   	 213.63		
 43.80   	 -35.61		 10.46   	 244.15		
 43.66   	 -40.69		 11.43   	 259.41		
 43.50   	 -45.78		 12.47   	 279.75		
 43.32   	 -45.78		 13.59   	 305.19		
 43.13   	 -40.69		 14.81   	 340.79		
 42.97   	 -35.61		 16.17   	 437.43		
 42.83   	 -20.35		 17.92   	 452.69		
 42.75(D)	   0.00		 19.74   	 452.69		
 42.75   	  25.43		 21.55   	 442.52		
