SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 67.34   	-223.80		 39.10   	-579.86		
 66.45   	-244.15		 36.79   	-610.37		
 65.47   	-264.50		 34.34   	-625.63		
 64.41   	-259.41		 31.84   	-645.98		
 63.38   	-249.24		 29.26   	-651.07		
 62.38   	-228.89		 26.65   	-640.89		
 61.46   	-208.54		 24.09   	-630.72		
 60.63   	-188.20		 21.57   	-610.37		
 59.88   	-157.68		 19.13   	-579.86		
 59.25   	-132.25		 16.81   	-549.34		
 58.72   	-111.90		 14.61   	-513.73		
 58.27   	 -96.64		 12.55   	-462.87		
 57.88   	 -81.38		 10.70   	-427.26		
 57.56   	 -71.21		  8.99   	-376.40		
 57.27   	-122.07		  7.49   	-325.53		
 56.79   	 -61.04		  6.19   	-269.58		
 56.54   	 -55.95		  5.11   	-218.72		
 56.32   	 -66.12		  4.23   	-178.03		
 56.05   	 -71.21		  3.52   	-132.25		
 55.77   	 -66.12		  2.99   	 -96.64		
 55.50   	 -71.21		  2.60   	 -66.12		
 55.22   	 -76.30		  2.34   	 -35.61		
 54.91   	 -76.30		  2.20   	 -20.35		
 54.61   	 -71.21		  2.12(D)	   5.09		
 54.32   	 -71.21		  2.14   	  10.17		
 54.04   	 -76.30		  2.18   	  20.35		
 53.73   	 -76.30		  2.26   	  30.52		
 53.43   	 -71.21		  2.38   	  30.52		
 53.14   	 -71.21		  2.50   	  35.61		
 52.86   	 -66.12		  2.64   	  35.61		
 52.59   	 -61.04		  2.79   	  25.43		
 52.35   	 -66.12		  2.89   	  25.43		
 52.09   	 -61.04		  2.99   	  20.35		
 51.84   	 -61.04		  3.07   	  10.17		
 51.60   	 -55.95		  3.11   	   5.09		
 51.37   	-106.82		  3.13   	  -5.09		
 50.95   	 -55.95		  3.11   	 -10.17		
 50.72   	 -45.78		  3.07   	 -10.17		
 50.54   	 -45.78		  3.03   	 -15.26		
 50.36   	 -50.86		  2.97(E)	 -15.26		
 50.15   	 -45.78		  2.91   	 -15.26		
 49.97   	 -50.86		  2.85   	 -15.26		
 49.77   	 -50.86		  2.79   	  -5.09		
 49.56   	 -55.95		  2.77   	  -5.09		
 49.34   	 -55.95		  2.75   	  10.17		
 49.11   	 -55.95		  2.79   	  15.26		
 48.89   	 -61.04		  2.85   	  30.52		
 48.65   	 -50.86		  2.97   	  45.78		
 48.44   	 -55.95		  3.15   	  66.12		
 48.22   	 -50.86		  3.42   	  86.47		
 48.02   	 -50.86		  3.76   	 127.16		
 47.81   	 -50.86		  4.27   	 162.77		
 47.61   	 -45.78		  4.92   	 203.46		
 47.43   	 -50.86		  5.74   	 254.32		
 47.22   	 -45.78		  6.75   	 305.19		
 47.04   	 -45.78		  7.98   	 350.97		
 46.86   	 -50.86		  9.38   	 401.83		
 46.65   	 -50.86		 10.99   	 452.69		
 46.45   	 -50.86		 12.80   	 488.30		
 46.25   	 -50.86		 14.75   	 513.73		
 46.04   	-101.73		 16.81   	 620.55		
 45.64   	 -50.86		 19.29   	 605.29		
 45.43   	 -50.86		 21.71   	 590.03		
 45.23   	 -45.78		 24.07   	 554.42		
 45.05   	 -45.78		 26.29   	 518.82		
 44.86   	 -30.52		 28.36   	 478.13		
 44.74   	 -15.26		 30.27   	 427.26		
 44.68(D)	   5.09		 31.98   	 376.40		
 44.70   	  40.69		 33.49   	 325.53		
 44.86   	  91.56		 34.79   	 279.75		
 45.23   	 162.77		 35.91   	 233.98		
 45.88   	 244.15		 36.85   	 193.29		
 46.86   	 325.53		 37.62   	 162.77		
 48.16   	 406.92		 38.27   	 132.25		
 49.79   	 493.39		 38.80   	 106.82		
 51.76   	 554.42		 39.23   	  91.56		
 53.98   	 605.29		 39.59   	  81.38		
 56.40   	 635.81		 39.92   	  76.30		
 58.94   	 645.98		 40.22   	  76.30		
 61.53   	 640.89		 40.53   	  76.30		
 64.09   	 605.29		 40.83   	  81.38		
 66.51   	 544.25		 41.16   	  91.56		
 68.69   	 488.30		 41.53   	  96.64		
 70.64   	 437.43		 41.91   	 101.73		
 72.39   	 361.14		 42.32   	 111.90		
 73.83   	 493.39		 42.77   	 142.42		
 75.81   	 147.51		 43.34   	 137.33		
 76.40   	  91.56		 43.89   	 137.33		
 76.76   	  45.78		 44.44   	 137.33		
 76.95(S)	   0.00		 44.98   	 127.16		
 76.95   	 -30.52		 45.49   	 122.07		
 76.83   	 -50.86		 45.98   	 101.73		
 76.62   	 -66.12		 46.39   	  96.64		
 76.36   	 -86.47		 46.77   	  86.47		
 76.01   	 -91.56		 47.12   	  66.12		
 75.65   	 -91.56		 47.39   	  50.86		
 75.28   	 -86.47		 47.59   	  35.61		
 74.93   	-106.82		 47.73   	  20.35		
 74.51   	-111.90		 47.81   	   5.09		
 74.06   	-111.90		 47.83(S)	  -5.09		
 73.61   	-116.99		 47.81   	 -25.43		
 73.14   	-132.25		 47.71   	 -40.69		
 72.61   	-137.33		 47.55   	 -45.78		
 72.06   	-147.51		 47.37   	 -61.04		
 71.47   	-147.51		 47.12   	 -71.21		
 70.88   	-157.68		 46.84   	 -86.47		
 70.25   	-167.85		 46.49   	 -91.56		
 69.58   	-162.77		 46.12   	-101.73		
 68.93   	-147.51		 45.72   	-111.90		
 68.34   	-142.42		 45.27   	-132.25		
 67.77   	-274.67		 44.74   	-183.11		
 66.67   	-111.90		 44.01   	-203.46		
 66.23   	 -96.64		 43.19   	-239.06		
 65.84   	 -96.64		 42.24   	-269.58		
 65.45   	 -91.56		 41.16   	-305.19		
 65.09   	 -86.47		 39.94   	-345.88		
 64.74   	 -91.56		 38.56   	-396.74		
 64.37   	-101.73		 36.97   	-442.52		
 63.97   	-116.99		 35.20   	-488.30		
 63.50   	-142.42		 33.25   	-534.08		
 62.93   	-167.85		 31.11   	-569.68		
 62.26   	-183.11		 28.83   	-595.11		
 61.53   	-208.54		 26.45   	-625.63		
 60.69   	-213.63		 23.95   	-630.72		
 59.84   	-208.54		 21.42   	-640.89		
 59.00   	-193.29		 18.86   	-635.81		
 58.23   	-188.20		 16.32   	-625.63		
 57.48   	-172.94		 13.81   	-605.29		
 56.79   	-147.51		 11.39   	-579.86		
