SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  LPA     	  LPA'		  RV     	  RV'		
 40.28   	-55.85   	 68.24   	 -25.43		 51.94   	 183.11		  6.45   	  81.38		
 41.20   	-57.98   	 68.14   	 -35.61		 52.68   	 162.77		  6.78   	 106.82		
 43.33   	-56.76   	 68.00   	 -45.78		 53.33   	  61.04		  7.20   	 116.99		
 45.17   	-52.80   	 67.81   	 -45.78		 53.57   	 -71.21		  7.67   	 111.90		
 45.78   	-48.22   	 67.63   	 -30.52		 53.29   	-127.16		  8.12   	 106.82		
 44.86   	-45.78   	 67.51   	 -20.35		 52.78   	-137.33		  8.55   	 122.07		
 43.33   	-46.39   	 67.43   	 -25.43		 52.23   	-218.72		  9.03   	 147.51		
 42.72   	-49.13   	 67.32   	 -61.04		 51.35   	-330.62		  9.62   	 142.42		
 42.11   	-51.27   	 67.08   	 -61.04		 50.03   	-325.53		 10.19   	 116.99		
 41.20   	-49.74   	 66.84   	 -55.95		 48.73   	-249.24		 10.66   	  81.38		
 39.67   	-43.33   	 66.61   	 -40.69		 47.73   	-274.67		 10.99   	  55.95		
 39.06   	-32.96   	 66.45   	 -10.17		 46.63   	-325.53		 11.21   	  40.69		
 39.98   	-22.89   	 66.41   	   5.09		 45.33   	-289.93		 11.37   	  15.26		
 41.50   	-16.78   	 66.43   	   0.00		 44.17   	-233.98		 11.43   	 -35.61		
 39.67   	-19.53   	 66.43   	 -30.52		 43.23   	-223.80		 11.29   	 -76.30		
 31.74   	-33.87   	 66.31   	-111.90		 42.34   	-203.46		 10.99   	 -96.64		
 22.28   	-58.59   	 65.86   	-152.59		 41.53   	-157.68		 10.60   	 -91.56		
 26.55   	-83.31   	 65.25   	 -91.56		 40.90   	-111.90		 10.23   	 -91.56		
 67.75   	-80.26   	 64.88   	 -20.35		 40.45   	 -96.64		  9.87   	 -91.56		
162.05   	-13.43   	 64.80   	   0.00		 40.06   	 -66.12		  9.50   	 -71.21		
296.02   	131.84   	 64.80   	 -25.43		 39.80   	 -15.26		  9.22   	 -55.95		
413.21   	317.99   	 64.70   	 -86.47		 39.74   	  30.52		  8.99   	 -35.61		
433.65   	459.29(R)	 64.35   	-172.94		 39.86   	 101.73		  8.85   	 -15.26		
 52.19   	374.76   	 63.66   	  -5.09		 40.26   	  61.04		  8.79(E)	  10.17		
-231.32   	203.86   	 63.64   	   0.00		 40.51   	  76.30		  8.83   	   0.00		
-425.72   	 54.93   	 63.64   	 -30.52		 40.81   	  81.38		  8.83   	 -10.17		
-464.48   	-33.87   	 63.52   	 -86.47		 41.14   	  61.04		  8.79   	   5.09		
-368.65   	-90.64   	 63.17   	-137.33		 41.38   	  55.95		  8.81   	 -10.17		
-216.37   	-155.33   	 62.62   	-122.07		 41.61   	  55.95		  8.77   	 -50.86		
-79.96   	-224.61   	 62.14   	 -71.21		 41.83   	  61.04		  8.57   	 -30.52		
  9.16   	-252.38   	 61.85   	 -25.43		 42.08   	  35.61		  8.44   	  61.04		
 58.59   	-204.16   	 61.75   	  10.17		 42.22   	  40.69		  8.69   	 127.16		
 86.98   	-97.35   	 61.79   	 -45.78		 42.38   	  71.21		  9.20   	 152.59		
103.45   	 10.07   	 61.61   	-106.82		 42.67   	  81.38		  9.81   	 188.20		
108.03   	 63.17   	 61.18   	-127.16		 42.99   	  45.78		 10.56   	 233.98		
103.15   	 52.80   	 60.67   	-127.16		 43.17   	  10.17		 11.50   	 249.24		
 96.74   	 11.90   	 60.16   	 -96.64		 43.21   	  -5.09		 12.49   	 188.20		
 95.21   	-19.53   	 59.78   	 -35.61		 43.19   	   0.00		 13.25   	 132.25		
 98.27   	-24.72   	 59.63   	 -25.43		 43.19   	 -15.26		 13.77   	 147.51		
102.23   	-10.38   	 59.53   	 -66.12		 43.13   	 -96.64		 14.36   	 244.15		
104.06   	  8.24   	 59.27   	-111.90		 42.75   	-132.25		 15.34   	 361.14		
103.15   	 20.45   	 58.82   	-137.33		 42.22   	 -91.56		 16.79   	 406.92		
101.93   	 23.19   	 58.27   	-147.51		 41.85   	 -61.04		 18.41   	 366.22		
