SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
 70.50   	  7.63   	  8.06   	 -10.17		 67.71   	 -91.56		
 41.81   	-22.89   	  8.02   	  -5.09		 67.34   	 -96.64		
 13.43   	-47.61   	  8.00   	   0.00		 66.96   	-101.73		
 -9.77   	-62.87   	  8.00   	   5.09		 66.55   	 -96.64		
-27.47   	-71.72   	  8.02   	   5.09		 66.16   	-101.73		Beg---------
-41.50   	-77.82   	  8.04   	  10.17		 65.76   	-101.73		
-54.63   	-82.70   	  8.08   	   5.09		 65.35   	 -96.64		
-67.75   	-86.36   	  8.10   	   5.09		 64.96   	-101.73		
-78.43   	-88.81   	  8.12   	  10.17		 64.56   	-101.73		
-83.62   	-89.72   	  8.16   	  10.17		 64.15   	 -96.64		
-85.14   	-91.86   	  8.20   	  10.17		 63.76   	 -96.64		
-90.03   	-97.96   	  8.24   	   5.09		 63.38   	 -96.64		
-106.20   	-102.23   	  8.26   	   5.09		 62.99   	 -96.64		
-129.09   	-72.02   	  8.28   	   5.09		 62.60   	 -91.56		
-133.06   	 55.85   	  8.30   	  10.17		 62.24   	 -86.47		
-81.79   	343.02   	  8.34   	  10.17		 61.89   	 -91.56		
 43.33   	762.94   	  8.38   	  10.17		 61.53   	 -86.47		
216.37   	1145.63(R)	  8.42(E)	  10.17		 61.18   	 -91.56		
387.57   	1032.10   	  8.46   	  10.17		 60.81   	 -86.47		
275.57   	472.41   	  8.50   	  15.26		 60.47   	 -86.47		
 79.04   	-140.69   	  8.57   	  10.17		 60.12   	 -81.38		
-97.35   	-531.92   	  8.61   	  10.17		 59.80   	 -81.38		
-171.20   	-598.75   	  8.65   	   5.09		 59.47   	 -76.30		
-136.11   	-430.30   	  8.67   	  15.26		 59.17   	 -76.30		
-54.63   	-203.86   	  8.73   	  15.26		 58.86   	 -71.21		
  0.61   	-61.65   	  8.79   	  15.26		 58.58   	 -66.12		
  1.83   	-42.42   	  8.85   	  15.26		 58.31   	 -71.21		
-29.30   	-94.30   	  8.91   	  20.35		 58.03   	 -66.12		
-55.54   	-145.87   	  8.99   	  20.35		 57.76   	 -66.12		
-56.46   	-160.83   	  9.07   	  20.35		 57.50   	 -66.12		
-39.67   	-142.52   	  9.16   	  30.52		 57.23   	 -61.04		
-22.58   	-113.22   	  9.28   	  30.52		 56.99   	 -66.12		
-15.56   	-95.52   	  9.40   	  50.86		 56.72   	 -66.12		
-16.78   	-96.74   	  9.60   	  55.95		 56.46   	 -61.04		
-18.62   	-107.12   	  9.83   	  61.04		 56.22   	 -66.12		
-16.78   	-112.30   	 10.07   	  66.12		 55.95   	 -61.04		
-11.60   	-108.03   	 10.34   	  86.47		 55.71   	 -66.12		
 -4.88   	-98.57   	 10.68   	 101.73		 55.44   	 -66.12		
  0.61   	-90.94   	 11.09   	 116.99		 55.18   	 -66.12		
  4.88   	-85.75   	 11.56   	 132.25		 54.91   	 -66.12		
  7.93   	-81.18   	 12.09   	 147.51		 54.65   	 -61.04		
 11.60   	-75.99   	 12.68   	 162.77		 54.40   	 -66.12		
 16.17   	-69.27   	 13.33   	 178.03		 54.14   	 -66.12		
 21.67   	-61.04   	 14.04   	 188.20		 53.88   	 -61.04		
 26.86   	-51.27   	 14.79   	 198.37		 53.63   	 -61.04		
 31.13   	-41.20   	 15.58   	 203.46		 53.39   	 -55.95		
 34.79   	-31.43   	 16.40   	 213.63		 53.16   	 -50.86		
 38.15   	-21.97   	 17.25   	 213.63		 52.96   	 -35.61		
 41.81   	-11.90   	 18.11   	 213.63		 52.82   	 -10.17		
 46.08   	 -0.31   	 18.96   	 218.72		 52.78(D)	  25.43		
 50.66   	 12.21   	 19.84   	 213.63		 52.88   	  71.21		
 55.24   	 25.02   	 20.69   	 203.46		 53.16   	 142.42		
 58.90   	 37.23   	 21.51   	 203.46		 53.73   	 203.46		
 61.65   	 48.83   	 22.32   	 188.20		 54.55   	 279.75		
 63.48   	 59.81   	 23.07   	 188.20		 55.67   	 340.79		
 64.70   	 70.19   	 23.82   	 172.94		 57.03   	 412.00		
 65.92   	 80.26   	 24.52   	 167.85		 58.68   	 457.78		
 67.75   	 90.94   	 25.19   	 152.59		 60.51   	 513.73		
 69.89   	101.32   	 25.80   	 142.42		 62.56   	 549.34		
 72.33   	111.69   	 26.37   	 127.16		 64.76   	 584.94		
 74.16   	122.07   	 26.88   	 116.99		 67.10   	 605.29		
 75.68   	132.14   	 27.34   	 101.73		 69.52   	 615.46		
 77.21   	142.21   	 27.75   	  96.64		 71.98   	 610.37		
 79.35   	152.89   	 28.14   	  81.38		 74.42   	 600.20		
 82.70   	164.18   	 28.46   	  71.21		 76.83   	 569.68		
 87.59   	175.78   	 28.75   	  66.12		 79.10   	 528.99		
 93.38   	186.77   	 29.01   	  50.86		 81.22   	 483.21		
100.10   	196.84   	 29.22   	  40.69		 83.15   	 422.18		
107.42   	203.86   	 29.38   	  35.61		 84.84   	 361.14		
114.44   	206.30   	 29.52   	  25.43		 86.29   	 295.01		
119.32   	203.25   	 29.62   	  15.26		 87.47   	 233.98		
119.32   	192.87   	 29.68   	  10.17		 88.40   	 167.85		
111.69   	176.39   	 29.73(S)	   0.00		 89.07   	 106.82		
 95.83   	155.64   	 29.73   	  -5.09		 89.50   	  50.86		
 72.94   	132.75   	 29.70   	 -10.17		 89.70   	  10.17		
 47.30   	108.64   	 29.66   	 -15.26		 89.75(S)	 -30.52		
 22.28   	 83.62   	 29.60   	 -25.43		 89.62   	 -61.04		
  0.61   	 57.07   	 29.50   	 -30.52		 89.38   	 -81.38		
-16.17   	 28.38   	 29.38   	 -30.52		 89.05   	 -91.56		
-28.69   	  0.31   	 29.26   	 -40.69		 88.69   	-101.73		
-37.23   	-25.02   	 29.09   	 -40.69		 88.28   	 -96.64		
-42.72   	-45.47   	 28.93   	 -45.78		 87.89   	 -86.47		
-46.08   	-60.73   	 28.75   	 -55.95		 87.55   	 -81.38		
-48.22   	-72.02   	 28.52   	 -55.95		 87.22   	 -66.12		
-50.05   	-80.26   	 28.30   	 -61.04		 86.96   	 -50.86		
-51.27   	-86.67   	 28.06   	 -61.04		 86.75   	 -35.61		
-52.49   	-91.55   	 27.81   	 -61.04		 86.61   	 -15.26		
-53.10   	-94.30   	 27.57   	 -71.21		 86.55   	 -10.17		
-53.41   	-95.52   	 27.28   	 -71.21		 86.51   	   5.09		
-53.41   	-95.52   	 27.00   	 -76.30		 86.53   	  10.17		
-53.71   	-96.13   	 26.69   	 -76.30		 86.57   	  10.17		
-54.02   	-97.05   	 26.39   	 -76.30		 86.61   	  10.17		
-53.71   	-98.88   	 26.08   	 -86.47		 86.65   	  10.17		
-53.41   	-100.71   	 25.74   	 -86.47		 86.69   	   0.00		
-52.49   	-101.62   	 25.39   	 -96.64		 86.69   	 -10.17		
-50.96   	-101.93   	 25.00   	 -96.64		 86.65   	 -25.43		
-49.13   	-101.62   	 24.62   	-111.90		 86.55   	 -40.69		
-47.00   	-101.32   	 24.17   	-122.07		 86.39   	 -55.95		
-44.86   	-101.01   	 23.68   	-132.25		 86.16   	 -71.21		
-43.33   	-100.71   	 23.15   	-157.68		 85.88   	 -91.56		
-42.11   	-100.40   	 22.52   	-167.85		 85.51   	-111.90		
-41.20   	-100.10   	 21.85   	-183.11		 85.07   	-137.33		
-40.89   	-99.49   	 21.12   	-198.37		 84.52   	-157.68		
-40.28   	-98.88   	 20.33   	-213.63		 83.89   	-178.03		
-39.98   	-97.96   	 19.47   	-218.72		 83.17   	-208.54		
-39.67   	-96.74   	 18.60   	-233.98		 82.34   	-223.80		
-39.98   	-95.52   	 17.66   	-239.06		 81.44   	-239.06		
-40.89   	-94.30   	 16.70   	-244.15		 80.49   	-254.32		
-41.81   	-93.08   	 15.73   	-239.06		 79.47   	-259.41		
-42.42   	-91.25   	 14.77   	-233.98		 78.43   	-259.41		
-42.42   	-88.81   	 13.84   	-233.98		 77.40   	-249.24		
-42.42   	-85.75   	 12.90   	-228.89		 76.40   	-244.15		
-42.72   	-82.70   	 11.98   	-218.72		 75.42   	-228.89		
-43.03   	-80.26   	 11.11   	-203.46		 74.51   	-218.72		
-43.03   	-78.43   	 10.29   	-193.29		 73.63   	-203.46		
