SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 61.73   	 305.19		 41.16   	 -66.12		
 62.95   	 249.24		 40.90   	 -40.69		
 63.95   	 178.03		 40.73   	  10.17		
 64.66   	 127.16		 40.77   	  50.86		
 65.17   	  81.38		 40.98   	  91.56		
 65.49   	  50.86		 41.34   	 122.07		
 65.70   	  15.26		 41.83   	 152.59		
 65.76   	 -10.17		 42.44   	 198.37		
 65.72   	 -15.26		 43.23   	 244.15		
 65.66   	 -20.35		 44.21   	 249.24		
 65.57   	  -5.09		 45.21   	 223.80		
 65.55   	   5.09		 46.10   	 178.03		
 65.57   	  25.43		 46.82   	 157.68		
 65.68   	  61.04		 47.45   	 142.42		
 65.92   	  86.47		 48.02   	 127.16		
 66.27   	 106.82		 48.52   	  96.64		
 66.69   	 122.07		 48.91   	  71.21		
 67.18   	 137.33		 49.20   	  30.52		
 67.73   	 157.68		 49.32   	  15.26		
 68.36   	 178.03		 49.38   	  25.43		
 69.07   	 198.37		 49.48   	  45.78		
 69.87   	 208.54		 49.66   	  35.61		
 70.70   	 203.46		 49.81   	  25.43		
 71.52   	 183.11		 49.91   	  20.35		
 72.25   	 178.03		 49.99   	  30.52		
 72.96   	 178.03		 50.11   	  55.95		
 73.67   	 178.03		 50.34   	  66.12		
 74.38   	 167.85		 50.60   	  50.86		
 75.06   	 142.42		 50.80   	  35.61		
 75.63   	 106.82		 50.95   	  40.69		
 76.05   	  76.30		 51.11   	  50.86		
 76.36   	  50.86		 51.31   	  55.95		
 76.56   	  40.69		 51.54   	  40.69		
 76.72   	  45.78		 51.70   	  20.35		
 76.91   	  25.43		 51.78(S)	  -5.09		
 77.01(S)	 -15.26		 51.76   	 -45.78		
 76.95   	 -45.78		 51.58   	 -76.30		
 76.76   	 -71.21		 51.27   	 -96.64		
 76.48   	 -76.30		 50.88   	-111.90		
 76.17   	 -76.30		 50.44   	-132.25		
 75.87   	 -96.64		 49.91   	-167.85		
 75.48   	-122.07		 49.24   	-188.20		
 74.99   	-152.59		 48.48   	-203.46		
 74.38   	-172.94		 47.67   	-208.54		
 73.69   	-193.29		 46.84   	-203.46		
 72.92   	-203.46		 46.02   	-183.11		
 72.11   	-223.80		 45.29   	-183.11		
 71.21   	-249.24		 44.56   	-178.03		
 70.21   	-279.75		 43.85   	-183.11		
 69.09   	-300.10		 43.11   	-172.94		
 67.89   	-315.36		 42.42   	-183.11		
 66.63   	-300.10		 41.69   	-208.54		
 65.43   	-274.67		 40.85   	-274.67		
 64.33   	-249.24		 39.76   	-335.71		
 63.34   	-213.63		 38.41   	-406.92		
 62.48   	-178.03		 36.79   	-493.39		
 61.77   	-137.33		 34.81   	-635.81		
 61.22   	-111.90		 32.27   	-773.14		
 60.77   	 -91.56		 29.18   	-813.83		
