SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
-106.51   	-44.25   	 59.45   	 -61.04		 10.91   	 284.84		
-161.13   	-45.78   	 59.21   	 -66.12		 12.04   	 315.36		
-152.59   	-75.68   	 58.94   	 -81.38		 13.31   	 386.57		
-99.18   	-89.72   	 58.62   	-101.73		 14.85   	 508.65		
-43.64   	-72.63   	 58.21   	-122.07		 16.89   	 595.11		
-16.48   	-41.50   	 57.72   	-132.25		 19.27   	 595.11		
-17.70   	-20.45   	 57.19   	-147.51		 21.65   	 595.11		
-27.47   	-18.01   	 56.60   	-152.59		 24.03   	 635.81		
-30.82   	-29.30   	 55.99   	-142.42		 26.57   	 651.07		
-28.38   	-45.17   	 55.42   	-137.33		 29.18   	 600.20		
-28.38   	-59.81   	 54.87   	-122.07		 31.58   	 554.42		
-31.43   	-67.44   	 54.38   	-111.90		 33.79   	 523.90		
-27.77   	-62.26   	 53.94   	-101.73		 35.89   	 452.69		
 -8.54   	-43.03   	 53.53   	 -76.30		 37.70   	 386.57		
 24.11   	-15.87   	 53.22   	-101.73		 39.25   	 574.77		
 92.47   	 32.04   	 52.82   	 -25.43		 41.55   	 157.68		
114.44   	 45.47   	 52.72   	 -15.26		 42.18   	  81.38		
127.26   	 51.88   	 52.65   	 -15.26		 42.50   	   5.09		
136.11   	 54.93   	 52.59   	   0.00		 42.52   	 -61.04		
147.71   	 59.81   	 52.59   	  66.12		 42.28   	-127.16		
165.41   	 69.27   	 52.86   	 203.46		 41.77   	-198.37		
190.12   	 85.75   	 53.67   	 447.61		 40.98   	-249.24		
217.90   	107.12   	 55.46   	 768.05		 39.98   	-279.75		
240.48   	125.73   	 58.53   	1113.93		 38.86   	-284.84		
254.21   	137.63   	 62.99   	1393.69		 37.72   	-254.32		
260.62   	143.74   	 68.57   	1551.37		 36.70   	-239.06		
263.67   	148.01   	 74.77   	1556.45		 35.75   	-228.89		
267.94   	157.17   	 81.00   	1414.03		 34.83   	-188.20		
273.13   	170.90   	 86.65   	1200.40		 34.08   	-147.51		
274.35   	183.11   	 91.45   	 956.25		 33.49   	 -91.56		
266.42   	187.07   	 95.28   	 701.93		 33.12   	 -35.61		
248.41   	178.83   	 98.09   	 427.26		 32.98   	  15.26		
223.69   	161.44   	 99.80   	 132.25		 33.04   	  50.86		
197.75   	141.91   	100.33   	-162.77		 33.25   	  61.04		
175.17   	126.04   	 99.67   	-406.92		 33.49   	  66.12		
158.08   	117.19   	 98.05   	-528.99		 33.75   	  71.21		
141.60   	109.25   	 95.93   	-534.08		 34.04   	  61.04		
117.19   	 93.38   	 93.79   	-447.61		 34.28   	  40.69		
 79.65   	 63.78   	 92.00   	-340.79		 34.45   	  30.52		
 33.87   	 25.33   	 90.64   	-361.14		 34.57   	  -5.09		
-28.99   	-22.89   	 89.20   	 -86.47		 34.55   	 -40.69		
-31.13   	-17.40   	 88.85   	 -71.21		 34.38   	 -66.12		
-23.50   	 -2.75   	 88.57   	 -86.47		 34.12   	 -91.56		
-21.97   	  4.58   	 88.22   	-111.90		 33.75   	-116.99		
-33.87   	 -3.05   	 87.77   	-157.68		 33.29   	-152.59		
